Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2001,Jan,62.5,59.9,9128039,8740605,387434,4.2
2001,Feb,62.4,59.8,9120132,8733557,386575,4.2
2001,Mar,62.3,59.7,9108245,8719823,388422,4.3
2001,Apr,62.2,59.5,9095320,8701872,393448,4.3
2001,May,62.1,59.4,9087010,8684335,402675,4.4
2001,Jun,62.1,59.2,9087123,8670637,416486,4.6
2001,Jul,62.1,59.1,9096796,8661781,435015,4.8
2001,Aug,62.2,59.1,9113151,8655226,457925,5
2001,Sep,62.3,59,9133898,8650292,483606,5.3
2001,Oct,62.4,58.9,9157095,8647326,509769,5.6
2001,Nov,62.5,58.9,9180165,8646147,534018,5.8
2001,Dec,62.7,58.9,9202819,8648361,554458,6
2002,Jan,62.8,58.9,9225509,8655523,569986,6.2
2002,Feb,62.9,59,9246806,8666443,580363,6.3
2002,Mar,63,59,9265302,8679350,585952,6.3
2002,Apr,63.1,59.1,9281975,8695207,586768,6.3
2002,May,63.2,59.2,9297067,8713553,583514,6.3
2002,Jun,63.2,59.3,9309180,8731635,577545,6.2
2002,Jul,63.2,59.4,9316834,8745647,571187,6.1
2002,Aug,63.2,59.4,9320911,8753883,567028,6.1
2002,Sep,63.2,59.3,9323265,8756201,567064,6.1
2002,Oct,63.1,59.3,9323293,8752564,570729,6.1
2002,Nov,63.1,59.2,9321908,8745900,576008,6.2
2002,Dec,63,59.1,9318783,8737938,580845,6.2
2003,Jan,63,59,9315785,8730879,584906,6.3
2003,Feb,63,59,9314431,8726174,588257,6.3
2003,Mar,62.9,58.9,9312793,8721904,590889,6.3
2003,Apr,62.9,58.9,9307352,8713651,593701,6.4
2003,May,62.8,58.7,9296497,8699109,597388,6.4
2003,Jun,62.6,58.6,9283664,8682191,601473,6.5
2003,Jul,62.5,58.4,9271586,8667803,603783,6.5
2003,Aug,62.4,58.3,9261573,8658414,603159,6.5
2003,Sep,62.3,58.3,9254717,8655456,599261,6.5
2003,Oct,62.3,58.3,9253604,8659302,594302,6.4
2003,Nov,62.3,58.3,9259003,8668362,590641,6.4
2003,Dec,62.3,58.4,9267759,8679731,588028,6.3
2004,Jan,62.3,58.4,9275669,8690232,585437,6.3
2004,Feb,62.4,58.4,9281530,8699403,582127,6.3
2004,Mar,62.5,58.6,9304365,8726537,577828,6.2
2004,Apr,62.6,58.8,9325796,8754380,571416,6.1
2004,May,62.7,58.9,9345424,8782986,562438,6
2004,Jun,62.8,59.1,9362431,8811495,550936,5.9
2004,Jul,62.8,59.2,9377918,8839205,538713,5.7
2004,Aug,62.9,59.4,9391690,8864589,527101,5.6
2004,Sep,62.9,59.5,9401360,8884406,516954,5.5
2004,Oct,62.9,59.5,9404648,8896900,507748,5.4
2004,Nov,62.9,59.5,9401294,8903284,498010,5.3
2004,Dec,62.8,59.5,9396977,8907852,489125,5.2
2005,Jan,62.8,59.6,9395352,8913873,481479,5.1
2005,Feb,62.8,59.6,9397267,8922290,474977,5.1
2005,Mar,62.8,59.6,9402641,8933249,469392,5
2005,Apr,62.8,59.7,9413319,8948092,465227,4.9
2005,May,62.9,59.8,9430767,8967742,463025,4.9
2005,Jun,63,59.9,9451917,8988295,463622,4.9
2005,Jul,63.1,60,9471800,9004782,467018,4.9
2005,Aug,63.2,60.1,9487602,9017089,470513,5
2005,Sep,63.2,60.1,9499119,9027253,471866,5
2005,Oct,63.2,60.1,9507494,9037183,470311,4.9
2005,Nov,63.2,60.1,9513815,9046842,466973,4.9
2005,Dec,63.2,60.1,9518216,9056031,462185,4.9
2006,Jan,63.2,60.2,9522997,9066533,456464,4.8
2006,Feb,63.2,60.2,9529175,9077960,451215,4.7
2006,Mar,63.2,60.3,9535839,9087985,447854,4.7
2006,Apr,63.3,60.3,9539977,9093660,446317,4.7
2006,May,63.2,60.3,9538316,9093999,444317,4.7
2006,Jun,63.2,60.2,9530898,9090653,440245,4.6
2006,Jul,63.1,60.2,9520777,9087715,433062,4.5
2006,Aug,63,60.2,9511488,9086770,424718,4.5
2006,Sep,62.9,60.1,9505259,9087981,417278,4.4
2006,Oct,62.8,60.1,9502793,9092269,410524,4.3
2006,Nov,62.8,60.1,9503075,9098570,404505,4.3
2006,Dec,62.8,60.1,9502870,9102977,399893,4.2
2007,Jan,62.7,60.1,9499799,9102241,397558,4.2
2007,Feb,62.6,60,9494831,9096946,397885,4.2
2007,Mar,62.6,59.9,9488991,9088533,400458,4.2
2007,Apr,62.5,59.8,9484728,9079753,404975,4.3
2007,May,62.5,59.8,9484366,9073042,411324,4.3
2007,Jun,62.5,59.7,9488494,9070029,418465,4.4
2007,Jul,62.5,59.7,9497120,9071651,425469,4.5
2007,Aug,62.5,59.7,9509680,9077545,432135,4.5
2007,Sep,62.6,59.7,9525259,9087657,437602,4.6
2007,Oct,62.7,59.8,9541506,9099049,442457,4.6
2007,Nov,62.8,59.8,9556141,9109703,446438,4.7
2007,Dec,62.8,59.9,9568190,9118591,449599,4.7
2008,Jan,62.8,59.9,9577044,9124073,452971,4.7
2008,Feb,62.9,59.9,9583530,9126805,456725,4.8
2008,Mar,62.9,59.9,9590062,9128290,461772,4.8
2008,Apr,62.9,59.8,9599018,9129190,469828,4.9
2008,May,63,59.8,9612247,9130656,481591,5
2008,Jun,63.1,59.8,9630028,9133515,496513,5.2
2008,Jul,63.2,59.8,9649719,9136086,513633,5.3
2008,Aug,63.3,59.8,9668018,9135938,532080,5.5
2008,Sep,63.3,59.7,9682451,9129223,553228,5.7
2008,Oct,63.4,59.6,9693575,9114128,579447,6
2008,Nov,63.4,59.4,9703038,9091347,611691,6.3
2008,Dec,63.4,59.2,9711658,9062948,648710,6.7
2009,Jan,63.4,59,9719617,9031621,687996,7.1
2009,Feb,63.5,58.7,9727756,9000993,726763,7.5
2009,Mar,63,58,9657401,8896423,760978,7.9
2009,Apr,63,57.9,9666899,8879394,787505,8.1
2009,May,63,57.8,9672903,8866030,806873,8.3
2009,Jun,63,57.7,9673753,8852531,821222,8.5
2009,Jul,63,57.5,9668943,8836214,832729,8.6
2009,Aug,62.9,57.4,9659298,8816461,842837,8.7
2009,Sep,62.8,57.2,9647854,8796265,851589,8.8
2009,Oct,62.7,57.1,9636718,8778512,858206,8.9
2009,Nov,62.6,57,9630492,8767080,863412,9
2009,Dec,62.6,56.9,9633209,8765800,867409,9
2010,Jan,62.6,57,9644070,8775340,868730,9
2010,Feb,62.7,57.1,9657047,8790529,866518,9
2010,Mar,62.7,57.1,9666303,8804772,861531,8.9
2010,Apr,63,57.5,9669447,8814800,854647,8.8
2010,May,63,57.5,9665480,8819490,845990,8.8
2010,Jun,62.9,57.4,9654362,8817095,837267,8.7
2010,Jul,62.7,57.3,9638270,8807520,830750,8.6
2010,Aug,62.6,57.2,9621243,8794278,826965,8.6
2010,Sep,62.4,57.1,9605787,8780710,825077,8.6
2010,Oct,62.3,57,9593183,8770596,822587,8.6
2010,Nov,62.2,56.9,9581746,8764573,817173,8.5
2010,Dec,62.1,56.8,9570220,8761434,808786,8.5
2011,Jan,62,56.8,9559651,8760232,799419,8.4
2011,Feb,61.9,56.7,9548708,8757912,790796,8.3
2011,Mar,61.8,56.7,9536257,8752207,784050,8.2
2011,Apr,61.6,56.6,9523346,8742652,780694,8.2
2011,May,61.5,56.5,9513763,8731832,781931,8.2
2011,Jun,61.5,56.4,9510326,8723753,786573,8.3
2011,Jul,61.5,56.3,9514587,8722045,792542,8.3
2011,Aug,61.5,56.3,9524566,8725968,798598,8.4
2011,Sep,61.5,56.3,9536393,8732476,803917,8.4
2011,Oct,61.6,56.4,9548032,8739046,808986,8.5
2011,Nov,61.6,56.4,9556997,8743315,813682,8.5
2011,Dec,61.6,56.3,9561987,8744223,817764,8.6
2012,Jan,61.6,56.3,9564435,8742699,821736,8.6
2012,Feb,61.6,56.3,9568747,8742066,826681,8.6
2012,Mar,61.6,56.3,9575456,8742131,833325,8.7
2012,Apr,61.6,56.2,9581857,8742019,839838,8.8
2012,May,61.7,56.2,9588258,8744437,843821,8.8
2012,Jun,61.7,56.2,9595186,8751630,843556,8.8
2012,Jul,61.7,56.3,9602750,8764316,838434,8.7
2012,Aug,61.7,56.4,9612652,8781926,830726,8.6
2012,Sep,61.8,56.5,9625882,8802411,823471,8.6
2012,Oct,61.8,56.6,9638067,8820734,817333,8.5
2012,Nov,61.8,56.6,9645668,8833612,812056,8.4
2012,Dec,61.8,56.7,9647282,8840572,806710,8.4
2013,Jan,61.8,56.6,9643243,8842773,800470,8.3
2013,Feb,61.7,56.6,9637148,8844420,792728,8.2
2013,Mar,61.7,56.7,9634141,8850795,783346,8.1
2013,Apr,61.7,56.7,9638121,8864330,773791,8
2013,May,61.7,56.8,9646461,8880236,766225,7.9
2013,Jun,61.8,56.9,9655330,8893914,761416,7.9
2013,Jul,61.8,56.9,9660293,8902869,757424,7.8
2013,Aug,61.7,56.9,9655577,8906160,749417,7.8
2013,Sep,61.6,56.9,9640261,8905146,735115,7.6
2013,Oct,61.4,56.9,9620358,8902906,717452,7.5
2013,Nov,61.3,56.8,9601154,8901935,699219,7.3
2013,Dec,61.2,56.8,9583747,8901999,681748,7.1
2014,Jan,61.1,56.8,9568507,8903251,665256,7
2014,Feb,61,56.8,9555038,8905204,649834,6.8
2014,Mar,60.9,56.8,9543233,8906972,636261,6.7
2014,Apr,60.8,56.8,9531922,8907932,623990,6.5
2014,May,60.7,56.8,9521136,8909964,611172,6.4
2014,Jun,60.6,56.8,9512596,8914743,597853,6.3
2014,Jul,60.6,56.8,9506832,8921190,585642,6.2
2014,Aug,60.6,56.9,9505320,8929372,575948,6.1
2014,Sep,60.6,56.9,9507458,8938865,568593,6
2014,Oct,60.6,57,9510169,8948744,561425,5.9
2014,Nov,60.6,57,9512399,8958578,553821,5.8
2014,Dec,60.6,57.1,9517113,8969792,547321,5.8
2015,Jan,60.6,57.2,9524954,8982601,542353,5.7
2015,Feb,60.7,57.3,9533927,8995441,538486,5.6
2015,Mar,60.7,57.3,9542416,9008594,533822,5.6
2015,Apr,60.8,57.4,9548293,9021384,526909,5.5
2015,May,60.8,57.5,9549164,9032002,517162,5.4
2015,Jun,60.7,57.5,9543550,9038865,504685,5.3
2015,Jul,60.7,57.5,9534767,9043435,491332,5.2
2015,Aug,60.6,57.6,9527129,9047482,479647,5
2015,Sep,60.6,57.6,9523717,9053257,470460,4.9
2015,Oct,60.6,57.6,9527500,9062751,464749,4.9
2015,Nov,60.6,57.7,9537575,9074704,462871,4.9
2015,Dec,60.7,57.8,9548386,9085645,462741,4.8
2016,Jan,60.8,57.8,9554664,9092379,462285,4.8
2016,Feb,60.8,57.8,9553707,9092674,461033,4.8
2016,Mar,60.7,57.8,9545384,9086193,459191,4.8
2016,Apr,60.6,57.7,9533668,9075462,458206,4.8
2016,May,60.6,57.6,9523916,9064157,459759,4.8
2016,Jun,60.5,57.6,9518429,9054675,463754,4.9
2016,Jul,60.5,57.5,9516807,9048360,468447,4.9
2016,Aug,60.5,57.5,9517447,9045264,472183,5
2016,Sep,60.5,57.5,9518718,9044383,474335,5
2016,Oct,60.5,57.5,9518573,9045425,473148,5
2016,Nov,60.5,57.5,9517508,9050218,467290,4.9
2016,Dec,60.5,57.6,9518132,9059508,458624,4.8
2017,Jan,60.6,57.7,9786877,9326683,460194,4.7
2017,Feb,60.7,57.8,9800351,9346626,453725,4.6
2017,Mar,60.7,58,9817572,9366666,450906,4.6
2017,Apr,60.9,58.1,9835869,9384093,451776,4.6
2017,May,60.9,58.1,9852683,9398001,454682,4.6
2017,Jun,61,58.2,9865598,9407322,458276,4.6
2017,Jul,61,58.2,9872094,9410601,461493,4.7
2017,Aug,61,58.1,9870248,9407451,462797,4.7
2017,Sep,60.9,58.1,9860903,9399265,461638,4.7
2017,Oct,60.8,58,9846668,9388484,458184,4.7
2017,Nov,60.7,57.9,9830847,9377414,453433,4.6
2017,Dec,60.6,57.8,9817592,9370967,446625,4.5
2018,Jan,60.6,57.9,9811681,9373350,438331,4.5
2018,Feb,60.6,57.9,9815682,9386086,429596,4.4
2018,Mar,60.6,58,9827553,9406848,420705,4.3
2018,Apr,60.7,58.2,9840981,9429347,411634,4.2
2018,May,60.8,58.3,9849643,9446654,402989,4.1
2018,Jun,60.8,58.3,9851785,9456523,395262,4
2018,Jul,60.7,58.3,9849030,9459881,389149,4
2018,Aug,60.7,58.3,9845885,9459747,386138,3.9
2018,Sep,60.7,58.3,9844431,9457863,386568,3.9
2018,Oct,60.7,58.3,9845546,9456826,388720,3.9
2018,Nov,60.7,58.3,9849131,9458921,390210,4
2018,Dec,60.7,58.3,9854208,9464583,389625,4
2019,Jan,60.7,58.3,9858570,9472023,386547,3.9
2019,Feb,60.7,58.4,9860331,9479650,380681,3.9
2019,Mar,60.7,58.4,9860362,9486094,374268,3.8
2019,Apr,60.7,58.5,9861141,9491920,369221,3.7
2019,May,60.8,58.5,9864463,9497238,367225,3.7
2019,Jun,60.8,58.5,9870657,9501494,369163,3.7
2019,Jul,60.8,58.5,9877987,9503811,374176,3.8
2019,Aug,60.9,58.5,9885501,9505846,379655,3.8
2019,Sep,60.9,58.6,9895889,9513713,382176,3.9
2019,Oct,61,58.6,9910497,9527231,383266,3.9
2019,Nov,61.1,58.7,9925425,9540945,384480,3.9
2019,Dec,61.1,58.8,9932018,9546194,385824,3.9
2020,Jan,61.1,58.7,9923921,9537629,386292,3.9
2020,Feb,61,58.6,9899607,9514153,385454,3.9
2020,Mar,60.8,58.4,9864566,9482618,381948,3.9
2020,Apr,57.7,48.3,9359206,7839695,1519511,16.2
2020,May,58.5,48.9,9494524,7927721,1566803,16.5
2020,Jun,59,50.9,9562307,8255048,1307259,13.7
2020,Jul,59.1,51.6,9578818,8361578,1217240,12.7
2020,Aug,58.6,52.1,9483828,8438359,1045469,11
2020,Sep,58.7,52.6,9483945,8503498,980447,10.3
2020,Oct,58.3,52.8,9410966,8533486,877480,9.3
2020,Nov,58.3,53,9403074,8551035,852039,9.1
2020,Dec,58.2,53.1,9382646,8555149,827497,8.8
2021,Jan,58.2,53.2,9362929,8554226,808703,8.6
2021,Feb,58.2,53.2,9344821,8555836,788985,8.4
2021,Mar,59.5,54.8,9548482,8790193,758289,7.9
2021,Apr,59.6,54.9,9548857,8804181,744676,7.8
2021,May,59.5,55.1,9519849,8817795,702054,7.4
2021,Jun,59.6,55.2,9535782,8827869,707913,7.4
2021,Jul,59.4,55.3,9487697,8832744,654953,6.9
2021,Aug,59.3,55.4,9463499,8837061,626438,6.6
2021,Sep,59,55.4,9409934,8842284,567650,6
2021,Oct,58.9,55.6,9385787,8851212,534575,5.7
2021,Nov,58.8,55.6,9366160,8856579,509581,5.4
